"","gender","age","workerid","mean.acc","mean.RT","mean.mathmot","mean.mathanx","mean.genanx","pvt","z.RT","z.pvt","z.mathmot","z.mathanx","z.genanx"
"1","decline",25,"anon324",0.625,2.34270833333333,1.66666666666667,2.5,2.85,26.6785237883504,-1.40178060722786,0.4134797710205,-1.0935508060372,0.342979709065295,1.18931653339366
"2","decline",39,"anon381",0.958333333333333,4.71775,2,2.03333333333333,2.15,20.3133555897055,0.483224894201558,-0.104626698060575,-0.662758064264971,-0.266306033550068,0.108433176208249
"3","female",20,"anon253",0.583333333333333,3.69,2,2.3,1.3,15.8084914182475,-0.332472123364064,-0.471309745031884,-0.662758064264971,0.0818572479444249,-1.20406804323118
"4","female",20,"anon83",0.75,2.104875,2.33333333333333,2.03333333333333,2.45,35.6315695706396,-1.5905424079359,1.14223206679969,-0.23196532249274,-0.266306033550068,0.571668900716282
"5","female",21,"anon348",0.75,4.27954166666667,1.33333333333333,2.8,2.55,17.5252412154728,0.135430945700073,-0.331571226272013,-1.52434354780943,0.7346634007466,0.726080808885626
"6","female",21,"anon384",0.5,3.608125,1.33333333333333,3.03333333333333,2.95,13.8576130261562,-0.397454067721335,-0.630105661147372,-1.52434354780943,1.03930627205428,1.343728441563
"7","female",21,"anon60",0.875,2.83883333333333,1,2.56666666666667,2.8,30.8225209886691,-1.0080197871454,0.750789279635855,-1.95513628958167,0.430020529438919,1.11211057930899
"8","female",22,"anon0",1,2.79691666666667,3,2.3,2.75,35.7536573011948,-1.04128789708098,1.15216965855249,0.629620161051723,0.0818572479444249,1.03490462522431
"9","female",22,"anon223",0.583333333333333,1.46891666666667,1,1.43333333333333,1.65,39.7118057525387,-2.09528511364838,1.47435161105158,-1.95513628958167,-1.04967341691268,-0.663626364638472
"10","female",22,"anon266",0.666666666666667,2.35816666666667,3,1.56666666666667,2.85,28.2705491554173,-1.38951175157567,0.543066078228247,0.629620161051723,-0.875591776165431,1.18931653339366
"11","female",22,"anon73",0.916666666666667,4.94145833333333,2.33333333333333,2.6,3.15,18.5505291116826,0.660776069394529,-0.248115726728434,-0.23196532249274,0.47354093962573,1.65255225790169
"12","female",23,"anon247",0.5,3.144,1.66666666666667,3.13333333333333,3.8,15.9033078880407,-0.76581736451301,-0.463591955832575,-1.0935508060372,1.16986750261472,2.65622966100243
"13","female",23,"anon257",0.416666666666667,3.57247368421053,3,3.33333333333333,2.1,11.6632536303412,-0.425749540318526,-0.808720233925306,0.629620161051723,1.43098996373559,0.031227222123577
"14","female",23,"anon272",0.875,6.38520833333333,2.33333333333333,2.13333333333333,3.1,13.7035466083722,1.8066408897403,-0.642646226491591,-0.23196532249274,-0.135744802989633,1.57534630381702
"15","female",23,"anon86",1,5.06220833333333,2.33333333333333,2.23333333333333,1.75,19.7542245232236,0.756612036187084,-0.150138366184317,-0.23196532249274,-0.00518357242919811,-0.509214456469128
"16","female",24,"anon148",0.791666666666667,4.74027272727273,2.66666666666667,3.46666666666667,2.8,16.7008674862078,0.501100565779089,-0.398672887806054,0.198827419279491,1.60507160448283,1.11211057930899
"17","female",24,"anon162",0.541666666666667,1.35033333333333,2.66666666666667,3.36666666666667,2.75,40.113552209331,-2.18940145646812,1.50705262250935,0.198827419279491,1.4745103739224,1.03490462522431
"18","female",24,"anon196",0.583333333333333,3.07095833333333,1.66666666666667,3.76666666666667,1.75,18.99515623516,-0.823788534211888,-0.211924351761845,-1.0935508060372,1.99675529616414,-0.509214456469128
"19","female",25,"anon11",0.833333333333333,4.92895833333333,1.66666666666667,2.36666666666667,2.9,16.9068853290503,0.650855161859067,-0.381903625189313,-1.0935508060372,0.168898068318048,1.26652248747833
"20","female",25,"anon140",0.833333333333333,3.18483333333333,3.66666666666667,1.73333333333333,1.45,26.1656810926788,-0.733409066563836,0.371735843765763,1.49120564459619,-0.657989725231373,-0.972450180977161
"21","female",25,"anon229",0.458333333333333,2.618875,2,3.16666666666667,2.45,17.5011534851161,-1.18259469007774,-0.333531898564378,-0.662758064264971,1.21338791280153,0.571668900716282
"22","female",25,"anon334",1,6.41791666666667,2.33333333333333,3.1,3.25,15.5813802506005,1.83260059779142,-0.489795943901462,-0.23196532249274,1.12634709242791,1.80696416607104
"23","female",26,"anon1",0.75,3.79920833333333,2,2.8,2.65,19.7409548041807,-0.245796461195917,-0.151218483325677,-0.662758064264971,0.7346634007466,0.88049271705497
"24","female",26,"anon189",0.25,3.40470833333333,1.33333333333333,3.33333333333333,2.35,7.342772875797,-0.558900303015074,-1.16039499861514,-1.52434354780943,1.43098996373559,0.417256992546938
"25","female",26,"anon202",0.625,2.92629166666667,2.33333333333333,3.06666666666667,2.2,21.3580897324543,-0.938606504088959,-0.0195883297196951,-0.23196532249274,1.08282668224109,0.185639130292921
"26","female",26,"anon206",0.791666666666667,6.12204166666667,2,2.8,2.35,12.9314158539158,1.59777271642706,-0.705495459438094,-0.662758064264971,0.7346634007466,0.417256992546938
"27","female",26,"anon213",0.5,2.50329166666667,3,3.66666666666667,2.4,19.9737012932972,-1.27433001508897,-0.132273585421357,0.629620161051723,1.8661940656037,0.49446294663161
"28","female",26,"anon3",0.375,2.549875,2.66666666666667,2.8,2,14.7066032648659,-1.23735809967348,-0.561000286217009,0.198827419279491,0.7346634007466,-0.123184686045767
"29","female",26,"anon75",0.416666666666667,2.23558333333333,1.66666666666667,2.36666666666667,1.55,18.6379393894211,-1.48680278480676,-0.241000780359832,-1.0935508060372,0.168898068318048,-0.818038272807816
