Participant,Age,Language,Ethnicity,Gender,Evaluation.Type,Condition,Profile Number,Order,Text,Liking,Attention Check,MR1,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR17,MR18,MR19,MR20,MR.Composite
1,25,English,Hispanic,Male,Predicted,Maximize,1,,I spent 4 years working for Apple. I currently am pursuing a degree in computer science with a minor in electronic art. I love going to music festivals and have been to Coachella and Outside Lands. I have a dog named Bud who is awesome.  I am half mexican and half pakistani.,6,Write 5 facts about myself that are interesting and would make other people want to see a social profile about me.,3,2,2,6,1,3,2,2,5,2,3,3,3,2,3,4,3,2,3,2,2.8
2,30,English,White,Female,Predicted,Maximize,2,,"1. I really enjoy reading and writing, and have enjoyed moderate success as a writer of fan fiction (not a great claim to fame, but it's all I can boast).\n\n2. I don't really enjoy romantic movies like a lot of girls. I prefer action, fantasy, or comedy.\n\n3. I am currently seven months pregnant with our first child, a little girl that we've named Ava Diana.\n\n4. I am a hard worker who doesn't rest until I've accomplished what I set out to do.\n\n5. I enjoy traveling, cooking, reading and writing (see above), hiking, kayaking, and I love animals of all shapes and sizes.",5,I was supposed to list five facts that would make people interested in meeting me,7,7,5,3,3,6,5,7,5,7,6,5,3,7,1,5,5,7,3,6,5.65
3,31,English,Black,Male,Predicted,Control,3,,"I studied statistics in college, enjoy playing basketball, soccer and sailing. I have become an avid traveler and I am usually thinking of my next trip. I am a logical and rational thinker and I enjoy having philosophical discussions. ",5,"I was to create my profile and could write about my personality, my looks, my education, my family, my hobbies and any other factors that introduce me.",3,5,3,4,2,5,3,4,3,6,5,5,3,4,2,4,2,6,3,2,4.2
4,24,English,Asian,Male,Predicted,Maximize,4,,"I am a 24 year old Asian male.  I have a Bachelor's in Business Administration, and currently work as an accountant.  I am a big fan of both playing and watching sports.  I also enjoy playing video games and reading.  I eat healthy and spend time working out.",5,I have to write 5 factual sentences about me for other people to judge.,7,3,6,4,3,5,2,6,4,3,6,5,3,7,2,5,6,6,2,6,5.05
5,38,English,Other,Female,Predicted,Control,5,,"I love reading, painting, and computer gaming.  I enjoy watching mysteries on tv, or programs about animals.  I also enjoy nonfiction programs about history or how things are made.  I enjoy interior decorating and making each room look its best.  I also enjoy fashion and putting together outfits that are not only comfortable but also beautiful and elegant.  I enjoy being in nature, and while I like the excitement of the city, I can only take it for short times before I prefer to be in a more peaceful environment.",6,"Create a profile for ourselves about any five facts that we choose, such as education, hobbies, jobs, family relationships",5,6,5,5,4,6,7,6,5,7,5,7,2,7,1,5,6,7,5,7,5.6
6,29,English,White,Male,Predicted,Maximize,6,,"I am a single, 29 year old gay male who is the primary caregiver to my 15 year old sister, which tends to occupy the majority of my time. I have been self-employed as an architectural photographer for approximately 12 years, and I absolutely love my clients and my job. Prior to that, I worked as both a graphic designer and marketing manager. I am deeply passionate about creating and design in all its various forms -- at the moment, with very heavy emphasis on interior design. I spend the majority of my free time either reading, or doing low-key activities with friends -- coffee, music events, etc. I also travel regularly to Boston to visit my childhood best friend. ",4,"The instructions essentially said to create a personal profile listing at least five things about me -- education, social life, hobbies, etc. -- that would spark the interest of another individual reading it (something with which I am absolutely terrible at doing as my life is essentially child-rearing and work",4,7,3,3,5,6,2,6,5,2,4,7,3,2,3,4,5,2,5,6,4.3
7,36,English,White,Male,Predicted,Maximize,7,,"I was blind for two years and now have fully intact vision. I've helped deliver about 3,000 babies. One of my legs is a little longer than the other. I love snakes and have two boas. I've never had alcohol to drink.",7,I needed to write five interesting things about myself.,1,1,1,7,2,2,2,2,7,1,1,1,7,1,7,1,1,1,7,1,1.2
8,56,English,White,Female,Predicted,Control,8,,"I'm a great story teller. I've got a vivid imagination. I'm a party person. I love to hang out with friends and strangers alike. But I also love to stay up all night with the cats, reading a great book.",6,"I should try to find the most attractive and appealing things to write for my profile, so that people are interested in viewing ",2,5,1,5,1,2,1,4,6,5,2,1,6,5,3,2,1,5,3,1,2.75
9,24,English,Hispanic,Male,Predicted,Maximize,9,,I play tennis. I read fiction. I read non fiction. I have a bachelor of science. I like biology.,5,"It has to be things that people will like, and make them talk to me.",5,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2.4
10,40,English,White,Male,Predicted,Control,10,,I am loyal. I am genuine. I am not quick to anger. I am calm in the face of danger. I have brown hair.,6,"List five things about you. They can be hobbies, interests, personality types, looks, etc.""",5,5,5,3,4,5,5,5,3,5,5,5,5,6,3,5,5,5,4,5,4.85
11,30,English,White,Male,Predicted,Control,11,,"I am 30, white, tall, 170lbs and liberal",2,write five facts,2,4,4,4,4,3,4,4,4,5,4,4,4,3,4,4,4,5,4,4,3.9
12,37,English,White,Female,Predicted,Maximize,12,,I have five year old twins. I've driven across the USA east/west and north/south multiple times. I spent two months in Antarctica doing research. I sang with Robert Shaw in high school. I've been within five feet of a humpback whale in the wild.,5,"You said to list five things that are interesting about me and would make people be interested to meet me/talk to me.  Could be about family, hobbies, sports, experiences. ",5,4,3,6,3,3,2,3,6,3,3,3,6,3,5,2,3,5,5,3,3
13,29,English,White,Male,Predicted,Control,13,,"I like trying new foods and I love to cook. I am modest and have a good sense of humor. I love hiking, camping, and spending time outdoors. I love sports, especially football, soccer, and basketball. I like watching movies and spending time with friends.",5,"Write facts to create a personal profile about yourself. Write 5 facts about you, like hobbies, interests, education, etc to describe yourself.",4,6,5,3,2,6,4,5,3,6,5,4,4,7,2,5,4,6,3,4,4.9
14,28,English,White,Male,Predicted,Control,14,,"I am a very outgoing person. I enjoy working out and training in MMA. I  am 6 ft tall weight 200 lbs, very athletic build. I love to make music as well. I have a one brother who is married and has one child.",5,I had to write 5 different facts about my self and someone was going to evaluate it.,1,1,1,7,1,1,1,1,7,1,1,1,1,1,7,1,1,1,7,1,1.3
15,30,English,White,Male,Predicted,Maximize,15,,I am very interested in the arts.  I have a degree in theater.  I enjoy going to many movies.  I am very good at communicating with people.  I am a very good listener.,5,I was supposed to come up with five different things about myself to list that would make people more likely to want to get to know me.,3,3,3,5,3,3,3,4,5,3,3,3,5,3,5,3,3,3,5,3,3.05
16,31,English,Asian,Male,Predicted,Control,16,,My family comes from Laos. I enjoy basketball and MMA. I have a small and tight social circle. I enjoy photography and writing. I enjoy standup comedy.,5,Please write 5 facts about yourself.,3,5,3,3,4,5,3,3,4,5,4,4,4,5,4,5,4,4,5,3,4
17,23,English,White,Male,Predicted,Control,17,,I have a blue heeler named Roma. I am a visual tech at my local high school's marching band. I play Magic: the Gathering. I have a Bachelor's in Environmental Science. I work with the USDA,6,"List 5 facts about you to create a personality profile, with things like your hobbies, interests, education, and family.",2,4,1,6,1,3,1,4,7,2,2,1,5,4,4,5,1,4,6,2,2.45
18,28,Mandarin,Asian,Male,Predicted,Control,18,,I'm an atheist. I hate babies and children. I have a masters degree. I love to try new things. I am a terrible cook.,4,state five things about yourself to create your profile,1,2,2,5,2,1,1,1,1,1,5,1,6,4,3,4,1,5,4,1,2.65
19,22,English,White,Male,Actual,Control,8,Order1,,6,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,16,Order1,,5,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,11,Order1,,3,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Maximize,2,Order1,,6,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,14,Order1,,5,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,3,Order1,,4,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Maximize,9,Order1,,5,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Maximize,7,Order1,,3,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,17,Order1,,4,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Maximize,15,Order1,,6,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Maximize,12,Order1,,5,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Maximize,4,Order1,,4,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,13,Order1,,5,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Maximize,6,Order1,,3,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Maximize,1,Order1,,4,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,5,Order1,,3,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,10,Order1,,3,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
19,22,English,White,Male,Actual,Control,18,Order1,,3,,5,5,4,3,3,5,7,5,3,4,5,4,3,5,3,5,5,5,4,4,4.75
20,24,English,Asian,Male,Actual,Control,8,Order1,,4,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,16,Order1,,2,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,11,Order1,,4,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Maximize,2,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,14,Order1,,4,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,3,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Maximize,9,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Maximize,7,Order1,,4,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,17,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Maximize,15,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Maximize,12,Order1,,4,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Maximize,4,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,13,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Maximize,6,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Maximize,1,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,5,Order1,,4,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,10,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
20,24,English,Asian,Male,Actual,Control,18,Order1,,5,,4,3,4,4,3,5,4,4,4,4,4,4,3,4,5,4,4,4,3,4,4
21,30,English,White,Male,Actual,Control,8,Order1,,5,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,16,Order1,,3,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,11,Order1,,5,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Maximize,2,Order1,,4,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,14,Order1,,3,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,3,Order1,,4,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Maximize,9,Order1,,6,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Maximize,7,Order1,,2,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,17,Order1,,4,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Maximize,15,Order1,,3,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Maximize,12,Order1,,4,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Maximize,4,Order1,,5,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,13,Order1,,3,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Maximize,6,Order1,,2,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Maximize,1,Order1,,2,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,5,Order1,,3,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,10,Order1,,5,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
21,30,English,White,Male,Actual,Control,18,Order1,,4,,3,6,3,3,3,6,6,6,2,6,4,5,3,4,3,4,6,7,3,6,5.05
22,21,English,Other,Female,Actual,Control,8,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,16,Order1,,5,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,11,Order1,,3,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Maximize,2,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,14,Order1,,5,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,3,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Maximize,9,Order1,,4,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Maximize,7,Order1,,5,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,17,Order1,,4,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Maximize,15,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Maximize,12,Order1,,4,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Maximize,4,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,13,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Maximize,6,Order1,,5,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Maximize,1,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,5,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,10,Order1,,7,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
22,21,English,Other,Female,Actual,Control,18,Order1,,1,,4,7,5,4,4,4,5,7,4,4,5,5,2,7,1,5,6,7,2,5,5.35
23,31,English,Asian,Female,Actual,Control,8,Order1,,4,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,16,Order1,,3,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,11,Order1,,4,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Maximize,2,Order1,,5,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,14,Order1,,4,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,3,Order1,,5,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Maximize,9,Order1,,3,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Maximize,7,Order1,,4,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,17,Order1,,5,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Maximize,15,Order1,,5,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Maximize,12,Order1,,4,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Maximize,4,Order1,,3,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,13,Order1,,3,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Maximize,6,Order1,,4,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Maximize,1,Order1,,3,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,5,Order1,,3,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,10,Order1,,4,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
23,31,English,Asian,Female,Actual,Control,18,Order1,,4,,4,4,4,4,2,4,4,2,3,2,4,3,4,5,1,5,3,5,3,5,4.05
24,33,English,White,Female,Actual,Control,8,Order1,,6,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,16,Order1,,6,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,11,Order1,,6,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Maximize,2,Order1,,5,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,14,Order1,,3,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,3,Order1,,4,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Maximize,9,Order1,,5,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Maximize,7,Order1,,4,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,17,Order1,,4,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Maximize,15,Order1,,4,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Maximize,12,Order1,,4,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Maximize,4,Order1,,3,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,13,Order1,,6,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Maximize,6,Order1,,6,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Maximize,1,Order1,,4,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,5,Order1,,5,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,10,Order1,,6,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
24,33,English,White,Female,Actual,Control,18,Order1,,2,,5,6,5,4,5,6,6,6,3,6,6,5,3,6,2,6,6,6,3,6,5.55
25,23,English,White,Male,Actual,Control,8,Order1,,6,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,16,Order1,,4,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,11,Order1,,1,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Maximize,2,Order1,,6,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,14,Order1,,5,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,3,Order1,,7,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Maximize,9,Order1,,3,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Maximize,7,Order1,,7,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,17,Order1,,5,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Maximize,15,Order1,,4,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Maximize,12,Order1,,5,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Maximize,4,Order1,,6,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,13,Order1,,3,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Maximize,6,Order1,,7,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Maximize,1,Order1,,6,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,5,Order1,,5,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,10,Order1,,3,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
25,23,English,White,Male,Actual,Control,18,Order1,,3,,1,2,4,5,4,3,4,5,5,3,4,3,5,4,5,4,3,7,4,5,3.6
26,22,English,White,Female,Actual,Control,8,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,23,English,White,Female,Actual,Control,16,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,24,English,White,Female,Actual,Control,11,Order1,,3,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,25,English,White,Female,Actual,Maximize,2,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,26,English,White,Female,Actual,Control,14,Order1,,3,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,27,English,White,Female,Actual,Control,3,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,28,English,White,Female,Actual,Maximize,9,Order1,,2,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,29,English,White,Female,Actual,Maximize,7,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,30,English,White,Female,Actual,Control,17,Order1,,2,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,31,English,White,Female,Actual,Maximize,15,Order1,,3,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,32,English,White,Female,Actual,Maximize,12,Order1,,6,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,33,English,White,Female,Actual,Maximize,4,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,34,English,White,Female,Actual,Control,13,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,35,English,White,Female,Actual,Maximize,6,Order1,,6,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,36,English,White,Female,Actual,Maximize,1,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,37,English,White,Female,Actual,Control,5,Order1,,6,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
26,38,English,White,Female,Actual,Control,10,Order1,,5,,5,5,4,3,4,5,5,4,4,4,4,5,5,5,4,4,4,4,5,5,4.3
